id,summary
tifu-test-00094,i was a joke of my friend and i'm going to read the book.
tifu-test-00095,"i was a wrong of my house, got caught to get the bathroom and i didn't go out."
tifu-test-00096,"i tried to get a girl, got caught up with my friend and ended out of the first day."
tifu-test-00097,i didn't go to eat my mom.
tifu-test-00098,"i tried to get a shit and got my nose, but i didn't have go out of the first time."
tifu-test-00099,"i tried to get a new school, i didn't go out of my teacher."
tifu-test-00100,"i tried to get a guy, i was not have be an shit."
tifu-test-00101,i was a guy in my friend and got caught the school.
tifu-test-00102,"i tried to make my nose,"
tifu-test-00103,"i went to get a girl, got caught my house."
tifu-test-00104,"i tried to get a girl with my girlfriend, but i was going out of the date."
tifu-test-00105,"i tried to get a big job, ended up my hand."
tifu-test-00106,"i tried to get a bar of my friend, got drunk in the party."
tifu-test-00107,"i tried to get a dick, got my nose and ended up out of the first day."
tifu-test-00108,i was going to go out of the school.
tifu-test-00109,"i thought i was a wrong of my boss,"
tifu-test-00110,"tried to get a shower, ended up my bathroom and got caught the toilet."
tifu-test-00111,i tried to get a shower and got my mom's house.
tifu-test-00112,"i tried to get a fire, got fired up the school."
tifu-test-00113,"i tried to get a girl, ended up my car."
tifu-test-00114,"i tried to eat my thumb, got a tree and i was cut it."
tifu-test-00115,"i was a shit and got my pants,"
tifu-test-00116,"i was a chicken of my house, i didn't eat it."
tifu-test-00117,"i tried to get a cat dog, i was caught my girlfriend and ended up the little day."
tifu-test-00118,"i tried to get a new game of my friend, i didn't know it was going to pay me."
tifu-test-00119,"i tried to get a shit, got caught my bathroom."
tifu-test-00120,"i tried to get a girl with my friend, i was going out of her girlfriend."
tifu-test-00121,"i tried to get a girl, got my mom's house."
tifu-test-00122,"tried to be a girl, ended up my house."
tifu-test-00123,"went to get a train, ended up the bus and got caught my car."
tifu-test-00124,"tried to take a girl's mom, she didn't know it."
tifu-test-00125,"i tried to get a girl, got caught my friend."
tifu-test-00126,"i didn't read my job, i was a professor."
tifu-test-00127,"i got a job of my boss, and i didn't have get an few weeks."
tifu-test-00128,"i tried to get a school, got caught my friend's teacher."
tifu-test-00129,"tried to get a shower, got stuck up with my house."
tifu-test-00130,"i got a job of my boss, i was fired up to get an guy."
tifu-test-00131,"tried to make a picture of my house,"
tifu-test-00132,"i tried to get a girl, got drunk and i didn't know it was going out."
tifu-test-00133,"i tried to get a girl, got caught my mom's house."
tifu-test-00134,"i tried to eat a lot of my house, ended up the bathroom."
tifu-test-00135,"i went to get a girl, got caught up with my girlfriend and she was going out of the date."
tifu-test-00136,"i thought i'm a guy,"
tifu-test-00137,i tried to get a dog and got my cat in the house.
tifu-test-00138,"i tried to make my house, got a fire and ended up the car."
tifu-test-00139,i was a guy in my friend's car.
tifu-test-00140,"tried to get a shower, got stuck up my face of the floor."
tifu-test-00141,"i tried to get a money, got an few weeks and i didn't know it."
tifu-test-00142,"tried to send my friend, ended up out of facebook."
tifu-test-00143,"i tried to get a game, ended up my foot and got caught the first time of front."
tifu-test-00144,"i tried to get a picture of my friend, i'm supposed it was not have read the same time."
tifu-test-00145,"i was a guy, got caught my friend and i'm supposed to get the first day."
tifu-test-00146,"i tried to get a big car, got stuck up the road and ended out of my head."
tifu-test-00147,"tried to get a guy, ended up the bar of my boss."
tifu-test-00148,"i tried to get a girl, but she didn't know it."
tifu-test-00149,i tried to get a guy and got an car.
tifu-test-00150,"i tried to get a new apartment, got caught the door in my house."
tifu-test-00151,"i tried to get a big car, got stuck up my head of the road."
tifu-test-00152,"i was going to be a new room, ended up the door."
tifu-test-00153,"i tried to eat my cat,"
tifu-test-00154,"i tried to get a big job, got stuck up my finger."
tifu-test-00155,"i tried to get a girl, got drunk with my girlfriend."
tifu-test-00156,"i tried to get a new computer, i didn't be my phone."
tifu-test-00157,"i was a joke of my boss, i didn't get the school."
tifu-test-00158,"i tried to get a new computer, but it was stuck up my phone."
tifu-test-00159,"i tried to get a new car, got stuck up my mom's house."
tifu-test-00160,"tried to get a girl, ended up my girlfriend."
tifu-test-00161,"i tried to get a chicken, got stuck up my house."
tifu-test-00162,"i tried to get a guy, i was going out of my friend."
tifu-test-00163,"i was a call my phone, i didn't be called the name."
tifu-test-00164,"tried to get a few day, got caught up with the hospital."
tifu-test-00165,"i was a job of my boss, i didn't be been to get the first time."
tifu-test-00166,"i tried to get a chicken, ended up my house."
tifu-test-00167,"i tried to get a car, got caught up the road."
tifu-test-00168,"i tried to get a cat dog, got caught my mom's house."
tifu-test-00169,"i was a girl, i didn't make my friend."
tifu-test-00170,"tried to be a girl, she didn't have been pregnant."
tifu-test-00171,"i tried to get a girl, ended up my friend and got caught out of the gym."
tifu-test-00172,"tried to get a girl, got caught up with my friend."
tifu-test-00173,i was a wrong of my car and i didn't get the bus.
tifu-test-00174,"i tried to get a new car, got stuck up my phone."
tifu-test-00175,"i tried to get a girl, got caught my friend."
tifu-test-00176,"i tried to get a shit, ended up the bathroom."
tifu-test-00177,"i tried to get a new car, got stuck up my house."
tifu-test-00178,"i tried to make a bottle of my coffee,"
tifu-test-00179,"i tried to get a door, ended up my house."
tifu-test-00180,"i was a girl, i didn't get my girlfriend."
tifu-test-00181,"i tried to get a girl, got my friend and i'm going out of the first time."
tifu-test-00182,i was a lot of my friend's house.
tifu-test-00183,"i was a girl, i didn't know my mother's mom."
tifu-test-00184,"i tried to get a bottle of the water, ended up my nose."
tifu-test-00185,don't eat food.
tifu-test-00186,"tried to take a shower, ended up my bathroom."
tifu-test-00187,"i tried to get a girl, ended up my friend was going out of the first day."
tifu-test-00188,"i tried to get a picture of my friend, i was supposed it's first time."
tifu-test-00189,"i tried to get a girl with my friend's girlfriend, she was called her phone."
tifu-test-00190,i was a girl in the door.
tifu-test-00191,"tried to get a shower, ended up my face."
tifu-test-00192,"i went to get a girl, got drunk in my friend and ended up out of the party."
tifu-test-00193,i tried to pay a new store of my phone.
tifu-test-00194,"i tried to get a new job, but i didn't know it was going to pay my wallet."
tifu-test-00195,"i tried to get a school, ended up my teacher and now i didn't go out of the class."
tifu-test-00196,"i tried to get a cat dog, ended up my house."
tifu-test-00197,"i got a lot of my room,"
tifu-test-00198,"i tried to get a fire of my house, and got caught it was burnt up."
tifu-test-00199,"i tried to get a girl, she was going out of my girlfriend."
tifu-test-00200,"i tried to get a guy, got drunk with my boss."
tifu-test-00201,i tried to get a gift of my mom's mother and i was supposed out.
tifu-test-00202,"tried to get a guy, got caught my friend."
tifu-test-00203,"tried to get a girl, ended up my penis and got caught the bathroom."
tifu-test-00204,"i went to get a girl, got caught out of the school."
tifu-test-00205,"i thought i was a new job, got to get my boss."
tifu-test-00206,"i tried to get a girl, ended up the party of my girlfriend."
tifu-test-00207,"i tried to get a doctor, ended up my face of the hospital."
tifu-test-00208,"tried to get a shower, got caught my house."
tifu-test-00209,"i tried to make a fire of my house, ended up the bathroom."
tifu-test-00210,"i tried to get a class of my friend, got stuck up the school."
tifu-test-00211,"i tried to get a car, got caught my bike and ended up the road."
tifu-test-00212,"tried to take a bathroom, got my toilet."
tifu-test-00213,"i tried to be a girl, ended up the hospital."
tifu-test-00214,"i tried to get a girl, ended up my friend and i was going out of the first time."
tifu-test-00215,"i was a joke of my friend,"
tifu-test-00216,"i tried to get a new car, got caught my phone."
tifu-test-00217,"went to get a train, got drunk in my car and ended up the road."
tifu-test-00218,"i tried to make my house,"
tifu-test-00219,"i tried to get a girl, got caught my girlfriend and ended up with the first time i was going out of sex."
tifu-test-00220,"i tried to get a girl, got caught out of my mom's house."
tifu-test-00221,"i was a new job of my car,"
tifu-test-00222,i tried to make a new store of the first day and ended up my house.
tifu-test-00223,"i was a new phone, i didn't be my mom's mother."
tifu-test-00224,"i tried to get a girl, got caught up with my girlfriend and i was drunk."
tifu-test-00225,"i was a new job, got my boss and i'm stuck up."
tifu-test-00226,"i was a guy in the door,"
tifu-test-00227,"i tried to get a shower and got my foot,"
tifu-test-00228,"i tried to get a girl, got caught the bus and ended up my car."
tifu-test-00229,"tried to get a girl, got married with my girlfriend."
tifu-test-00230,"i tried to get a few day, ended up my head of the first time."
tifu-test-00231,"i was a lot of my house, ended up in the bathroom."
tifu-test-00232,"i tried to get a big friend, got my brother's house."
tifu-test-00233,"i got a joke, i didn't know it was the doctor."
tifu-test-00234,"tried to get a guy, got caught out of the door."
tifu-test-00235,"i was a lot of my car, got caught up in the first day."
tifu-test-00236,"i got drunk with a girl, ended up my girlfriend."
tifu-test-00237,"i was a lot of my friend, i'm not have be the first day."
tifu-test-00238,"i tried to get my wallet, but i didn't have a few weeks."
tifu-test-00239,"i tried to get a girl, got caught out of the door."
tifu-test-00240,"tried to get a girl, got caught up with the door."
tifu-test-00241,"tried to get a wrong, got out of the flight."
tifu-test-00242,i tried to get a girl with my mom's house.
tifu-test-00243,"i tried to get a car, got caught my truck."
tifu-test-00244,"i tried to get a girl, ended up the front of my face."
tifu-test-00245,"i tried to get a new friend's house, got caught my dad was married."
tifu-test-00246,"i tried to get a new car, got caught my friend and ended up the first time of me."
tifu-test-00247,i was a guy and i'm going to get my brother.
tifu-test-00248,"i tried to get a tree, got stuck up my arm."
tifu-test-00249,"i tried to get a car, ended up my friend and got caught the road."
tifu-test-00250,"i tried to get a job, got caught my boss."
tifu-test-00251,"i was a girl, got my boss and i had been to get the job."
tifu-test-00252,"i tried to get a new room, got stuck up the door and ended out of my house."
tifu-test-00253,"i tried to get a girl, but i'm stuck up the door."
tifu-test-00254,"tried to get a shower, ended up my face."
tifu-test-00255,"i went to get a girl, got caught my bathroom and ended up the toilet."
tifu-test-00256,"i tried to get a train, got an bus and ended up my car."
tifu-test-00257,"i tried to make a chicken,"
tifu-test-00258,"i tried to get a few day and ended up my nose,"
tifu-test-00259,"i tried to get a girl, got caught the school."
tifu-test-00260,"i tried to get a job, got an shit and i didn't take the first day."
tifu-test-00261,"i tried to get a girl, ended up out of my friend."
tifu-test-00262,"i tried to get a new car, ended up the bus and now i didn't be an few hours."
tifu-test-00263,"i tried to get a bus, ended up the train of my car."
tifu-test-00264,i tried to get a new computer and i didn't be my laptop.
tifu-test-00265,"i got a lot of my car, ended up the train."
tifu-test-00266,"went to get a girl, got caught my friend and ended up the party."
tifu-test-00267,"i went to get a girl, got caught up my friend and ended out of the first day."
tifu-test-00268,"i went to get a shower and got stuck up my hand,"
tifu-test-00269,"i tried to take the bathroom,"
tifu-test-00270,i didn't know i'm a shower.
tifu-test-00271,tried to get a pit of my foot and got stuck up the floor.
tifu-test-00272,i tried to get my wallet.
tifu-test-00273,i forgot my phone and i didn't be the account to pay it.
tifu-test-00274,"i tried to get a fire, got caught my house and ended up the floor."
tifu-test-00275,"i was a lot of my boss, got to get the first day."
tifu-test-00276,"i tried to use a fire and got my house,"
tifu-test-00277,"i tried to get a girl, got caught out of my friend."
tifu-test-00278,"i tried to get a big job, got caught my mom's house."
tifu-test-00279,i tried to get a few weeks of my own life.
tifu-test-00280,"i tried to get a big friend, got caught out of the road."
tifu-test-00281,i was a guy of my friend's school.
tifu-test-00282,"i told my girlfriend's friend, i was a girl."
tifu-test-00283,"tried to get a girl, got caught up my car."
tifu-test-00284,"i tried to get a girl, but i didn't go out of my friend."
tifu-test-00285,"i tried to get a new phone, got stuck up with the computer."
tifu-test-00286,"got drunk, got a bottle of my friend was sick."
tifu-test-00287,"i was a girl in my girlfriend, got caught it's house."
tifu-test-00288,"i tried to get a car, got caught up the police and ended out of my house."
tifu-test-00289,i was a black of my friend.
tifu-test-00290,"i tried to get a girl, ended up my friend and i'm married."
tifu-test-00291,"i was a girl,"
tifu-test-00292,"i tried to get a guy, ended up my penis."
tifu-test-00293,i tried to get a dog and got my mother's house.
tifu-test-00294,"i tried to get a little kid, ended up my house."
tifu-test-00295,"i tried to get a girl, ended up my girlfriend."
tifu-test-00296,"i tried to get a guy, got my friend and now i'm stuck up with the new job."
tifu-test-00297,i tried to buy a new computer of my phone.
tifu-test-00298,"i tried to get a bike, got stuck up my car."
tifu-test-00299,"i was a lot of my car, i didn't be been to get the same time."
tifu-test-00300,"i tried to get a girl with my girlfriend, she was going out of her friend."
tifu-test-00301,"tried to get a guy, got caught my car."
tifu-test-00302,"i tried to make a microwave, i was burnt my house."
tifu-test-00303,"i went to get a girl, she was going out of my girlfriend."
tifu-test-00304,"i was a guy in the police, got caught my friend and then i had been to get an hospital."
tifu-test-00305,"i tried to get a shower, ended up my toilet."
tifu-test-00306,"tried to make a fire,"
tifu-test-00307,"i tried to get a girl, i didn't know it was my mom."
tifu-test-00308,"i tried to get a girl with my friend, i'm going out."
tifu-test-00309,"i was a new job, i didn't get my boss."
tifu-test-00310,"i was going to get a girl, i didn't know it."
tifu-test-00311,"i tried to get a wrong money, ended up my car."
tifu-test-00312,"i tried to get a guy, got stuck up my head and ended out of the road."
tifu-test-00313,i tried to make my friend's house.
tifu-test-00314,"i didn't be a wrong of my room,"
tifu-test-00315,"i was a lot of my car, i didn't get the shit."
tifu-test-00316,"tried to send a new phone,"
tifu-test-00317,"i tried to get a dick, got stuck up my penis."
tifu-test-00318,"i was a girl, got drunk with my girlfriend."
tifu-test-00319,"i was a lot of my boss, ended up to make the first day."
tifu-test-00320,"i tried to get a girl and got my boss,"
tifu-test-00321,"i tried to get a party, got drunk and ended up my friend."
tifu-test-00322,"i tried to get a new car, ended up my house."
tifu-test-00323,"i tried to get a shower, ended up my bathroom in the toilet."
tifu-test-00324,"i was a kid in the school, got caught up my parents and ended out of front."
tifu-test-00325,"i tried to get a job, got caught my boss."
tifu-test-00326,"i tried to get a girl, got caught my girlfriend and i was going out of the woman."
tifu-test-00327,"tried to get a girl, got caught up in the school."
tifu-test-00328,"i tried to get a party, got drunk with the bar of my head."
tifu-test-00329,"i was a job of my boss, i didn't have be been to get work."
tifu-test-00330,"tried to take a shower, got stuck up my bathroom."
tifu-test-00331,"i tried to get a bike, got caught my car and ended up the road."
tifu-test-00332,"i went to get a shower, ended up my pants in the bathroom."
tifu-test-00333,"i tried to get a car, got stuck up my keys."
tifu-test-00334,i was a new date of my wrist.
tifu-test-00335,"tried to get a shower, ended up the bathroom."
tifu-test-00336,"i was a joke of my friend,"
tifu-test-00337,"i tried to get a guy and got an car, ended up the road."
tifu-test-00338,"i told a girl, she was going to get drunk with my girlfriend."
tifu-test-00339,"i tried to get a girl, ended up my penis."
tifu-test-00340,"tried to make a shower, ended up my house."
tifu-test-00341,"i was a girl, got caught my mom's house."
tifu-test-00342,"i told my friend's brother, i was been a little mom."
tifu-test-00343,"i tried to get a few weeks of my car, ended up out."
tifu-test-00344,"i went to get a shower, got caught my car and ended up the bathroom."
tifu-test-00345,"tried to get a girl, got caught out of my friend."
tifu-test-00346,"i got a job of my boss, i'm going to get the business."
tifu-test-00347,"i was a lot of my penis, i didn't have be the bathroom."
tifu-test-00348,"i was a piss in my bathroom,"
tifu-test-00349,"tried to get a guy, got caught up my friend."
tifu-test-00350,"i tried to get a girl, got my nose and ended up the first day."
tifu-test-00351,"i tried to get a new car, got stuck up the road."
tifu-test-00352,"tried to eat a shower, got my toilet and ended up the bathroom."
tifu-test-00353,"i tried to get a new phone, got my dad's house."
tifu-test-00354,"i tried to get a big car, got caught up the hospital."
tifu-test-00355,"i was a new car, got stuck to get the $$."
tifu-test-00356,"i tried to get a train of the bus, ended up my car."
tifu-test-00357,"i got a shower,"
tifu-test-00358,"i tried to make my hair and got a shower,"
tifu-test-00359,"i tried to get a new job, but i was stuck up my boss."
tifu-test-00360,"i didn't know i'm a professor,"
tifu-test-00361,"i tried to get a pizza, but i didn't eat it was going to make the restaurant."
tifu-test-00362,i didn't send my wallet.
tifu-test-00363,"i tried to get a new mom's car, but i was stuck up my dad."
tifu-test-00364,"i tried to get a car, got caught the road."
tifu-test-00365,"i tried to get a shit, ended up my ass."
tifu-test-00366,"i tried to get a girl, she was my nose."
tifu-test-00367,i was a class of my friend's school and i didn't know it.
tifu-test-00368,"tried to get a shower, got stuck up my house."
tifu-test-00369,"i was a girl, i didn't know it to get my friend."
tifu-test-00370,"i tried to get a girl, got caught the car and ended up my girlfriend."
tifu-test-00371,"i tried to get a test of my toilet, got stuck up the school."
tifu-test-00372,i was a girl for my boss.
tifu-test-00373,"tried to get a girl, ended up with my face."
tifu-test-00374,i tried to get a shower with my bathroom and ended up the room.
tifu-test-00375,"i got drunk with my girlfriend, now i'm not have be a date."
tifu-test-00376,"tried to get a girl, got caught up my mom's mother and i'm not have be the family."
tifu-test-00377,"i tried to get a girl, got drunk with my girlfriend."
tifu-test-00378,"i tried to make my house and got a fire,"
tifu-test-00379,"i tried to get a kid, got my dad's parents was the door."
tifu-test-00380,"i tried to get a new car, got stuck up my phone."
tifu-test-00381,i tried to get a shit and got stuck up my ass.
tifu-test-00382,i tried to get a pot of my friend.
tifu-test-00383,i tried to get a girl.
tifu-test-00384,"i tried to get a girl with my girlfriend, ended up out of the bathroom."
tifu-test-00385,"tried to get a girl, got caught up my boss."
tifu-test-00386,"i tried to get a dentist and i was my nose,"
tifu-test-00387,"i tried to get a bar of my car, got caught up the bus."
tifu-test-00388,"i tried to get a chicken, got stuck up my finger and then i was cut the knife."
tifu-test-00389,"i tried to play a game of my friend, ended up the first time."
tifu-test-00390,"i tried to get a car, got caught my house and ended up the road."
tifu-test-00391,"i tried to get a girl, ended up in the bathroom and got caught my room."
tifu-test-00392,"i tried to get a guy, got caught my friend and i was stuck up the police."
tifu-test-00393,"i tried to get a dog of my house, i was stuck up it."
tifu-test-00394,"i was a joke of my friend, i'm not have be the wrong."
tifu-test-00395,i tried to send my phone and got a new job.
tifu-test-00396,"i tried to get a shower and got my face,"
tifu-test-00397,"tried to make a shower, ended up my bathroom."
tifu-test-00398,"i went to get a girl, got drunk in my house and ended up the bathroom."
tifu-test-00399,"i was a lot of my friend, i didn't be been to get the first time."
tifu-test-00400,"i tried to get a new car, got caught up my house and ended out of the door."
tifu-test-00401,i tried to get a girl.
tifu-test-00402,i got a new job of my boss.
tifu-test-00403,i tried to get a few weeks of my house and got stuck up the first day.
tifu-test-00404,i tried to get a girl and my penis.
tifu-test-00405,"i tried to get a game, ended up my teacher."
tifu-test-00406,i didn't be a class of my exam.
tifu-test-00407,"i tried to get a cat dog, but i was stuck up my pet."
tifu-test-00408,i tried to get a new job of my friend.
tifu-test-00409,"i tried to get my friend,"
tifu-test-00410,"i was a joke of my friend,"
tifu-test-00411,"i tried to get a school, got my teacher and i'm not have be the class."
tifu-test-00412,"i tried to get a girl, got my bathroom and ended up the toilet."
tifu-test-00413,"i tried to get a new car, got caught up my house and then i'm home."
tifu-test-00414,"i went to get a shower and got my toilet,"
tifu-test-00415,"tried to get a job, got stuck up with my boss."
tifu-test-00416,"i was a lot of my boss, i didn't get the shit."
tifu-test-00417,"i tried to get a new house, got caught up the door."
tifu-test-00418,"went to get a girl, got caught my girlfriend and ended up the bathroom."
tifu-test-00419,"i tried to get a kid, got stuck up my house."
tifu-test-00420,"i tried to get a girl, got caught my school and i didn't know it."
tifu-test-00421,"i tried to get a girl, got caught my girlfriend and i was going out of the same day."
tifu-test-00422,"i fucked up my toilet,"
tifu-test-00423,"i tried to get a job, got fired up my boss."
tifu-test-00424,"i tried to get a new gym, got stuck up my boss."
tifu-test-00425,"i tried to get a girl, ended up my girlfriend and got drunk with the bed."
tifu-test-00426,"tried to take a toilet, got my bathroom and ended up the room."
tifu-test-00427,"i tried to get a job, got stuck up the train."
tifu-test-00428,"i tried to get a shower, ended up my face of the bathroom."
tifu-test-00429,"i tried to get a girl, ended up my mom's school."
tifu-test-00430,"i tried to get a big nose, got stuck up my head."
tifu-test-00431,i tried to get a new car and got stuck up the door.
tifu-test-00432,"i tried to get a girl, but i didn't know it was going out."
tifu-test-00433,"i tried to get a toilet, ended up the bathroom and got my room."
tifu-test-00434,"i tried to get a girl, got drunk with my friend's house."
tifu-test-00435,"i tried to get a lot of my ear, got stuck up the doctor and ended out."
tifu-test-00436,"i didn't know i was a school,"
tifu-test-00437,"i was a girl, i didn't get my friend."
tifu-test-00438,"tried to get a girl, got caught up with my girlfriend."
tifu-test-00439,"i tried to get a girl with my girlfriend, i was married up out of her friend."
tifu-test-00440,"i went to get a girl, got drunk with my girlfriend."
tifu-test-00441,"i tried to get a girl, got drunk in the school."
tifu-test-00442,"i tried to play a new friend, i was going to get my mom."
tifu-test-00443,"i was a lot of my friend, got caught it's house."
tifu-test-00444,"i tried to get my house, got a new phone and i'm stuck up it was drunk."
tifu-test-00445,"i tried to get a bathroom, ended up my toilet."
tifu-test-00446,i was going to get a girl.
tifu-test-00447,"i tried to get a doctor, ended up the hospital."
tifu-test-00448,"tried to get a girl, ended up my face."
tifu-test-00449,"i tried to get a new computer and got my phone, i was stuck up the first day."
tifu-test-00450,i tried to get a new computer and now i didn't do be the room.
tifu-test-00451,i was a girl of my girlfriend and i didn't know it.
tifu-test-00452,"tried to get a girl, got caught out of my friend."
tifu-test-00453,"i tried to get a dick, ended up my penis."
tifu-test-00454,"i tried to get a new job, got stuck up my finger."
tifu-test-00455,"i tried to get a fire and got burned up the house,"
tifu-test-00456,"i tried to get a party of the plane, ended up my brother's house."
tifu-test-00457,i tried to be a new computer of my phone.
tifu-test-00458,"i tried to get a new car, ended up my house."
tifu-test-00459,"i got a game of my brother,"
tifu-test-00460,"i tried to get a party, got drunk and ended up my head."
tifu-test-00461,"i tried to get a girl, got drunk with my girlfriend and ended up out of the date."
tifu-test-00462,"i tried to get a little kid, got caught my friend was the wrong of school."
tifu-test-00463,"i went to get a school, got caught my house."
tifu-test-00464,"i tried to play a game of my friend, ended up the first time."
tifu-test-00465,i was a joke of my friend and i didn't know it.
tifu-test-00466,"i tried to get a bag of my house, ended up the bathroom."
tifu-test-00467,"i tried to get a new job, got caught my boss and i didn't know it."
tifu-test-00468,"i was a girl, i didn't know my boss."
tifu-test-00469,"tried to get a guy, got caught up the hospital."
tifu-test-00470,"i tried to get a girl, got caught out of my girlfriend."
tifu-test-00471,"i was a big guy, got killed my car and ended up the police."
tifu-test-00472,"i tried to get a pizza, got my dad's house."
tifu-test-00473,i didn't go to get a game of my family.
tifu-test-00474,"i was going to get a new house, i didn't know it."
tifu-test-00475,"i tried to get a dog, got my dad's house."
tifu-test-00476,"i tried to get a lot of my nose, i didn't have be the first time."
tifu-test-00477,i tried to get a guy and got my friend's house.
tifu-test-00478,"i went to get a school, got caught up the class and ended out of my head."
tifu-test-00479,"i tried to get a new car, but i didn't know it was going to go back."
tifu-test-00480,"i tried to get a new car, but i was stuck up my phone."
